address,amount
0xd0d7c4ba9a26d1bec1bc4e6accbf53f0eb135afa,2000000000000000000000000
0xd287782085baf9aaf0a0ea0cc3415373a3356790,232040000000000000000000
0xa86a4183792d3d8b36d2a82f3b7ba0cf355d2aae,201694967600000000000000
0x6318b8ca8bcc6ffc3537bbd586426c2a49454433,200583200000000000000000
0x8b827d160ee3192a97b22c3ec85be05cb5fc07fc,200160000000000000000000
0x0a5ea4d860df06f20475b2ad9df1dae47dbd750e,200087200000000000000000
0x0610d89a370506d81985c35ff6ee17329892591c,200000000000000000000000
0x117c5f1c6574cea5873c06b93fd3d39158cc8201,200000000000000000000000
0x133a5faca4d38c1653b0a75ca9fd592e1e515c30,200000000000000000000000
0x3bc3b142a480dfb0b7fa4cfd6c71a98bf6e21450,200000000000000000000000
0x3e05689b1ae5bc45645ff9983348c57198f1c096,200000000000000000000000
0x5aac59ef42f3d695b7e1fb34f3453b2f8991ac45,200000000000000000000000
0x6196a3b03eb4f7fb5e69e4edafad1acf187672c5,200000000000000000000000
0x62edf2f57425b243fc5ef163c6da9a478bc604a2,200000000000000000000000
0x6856b7e98f59a47a038928c29b2f24df75885f25,200000000000000000000000
0x6a2d24163e526d0ab24c3379fdcb7fce0da0284b,200000000000000000000000
0x6ec08464fcd26f1a8ffb7e5112ccb372add28175,200000000000000000000000
0x9d2debbbd9fcad6892872846276869eb49108826,200000000000000000000000
0xc0815b4dff71281f08fd34df5373d49456dde7e2,200000000000000000000000
0xd39608fb6b94a72980f2b44c498f24b07586f055,200000000000000000000000
0xe6435b193b0637413b5e857e9193db375521e49f,200000000000000000000000
0xf3746cc4c190dddb75e2d665f2152b89c9542460,200000000000000000000000
0xf9476fa8e6f01374f698910fade114537fb76da2,200000000000000000000000
0xda1d4421f8c4c39d948ccb0b293780fb336daff0,199960000000000000000000
0x2e4255e10e20b99bf520e6be02e5c232d40aee7e,199765600000000000000000
0x81666a820bdd4bfad18c10144e087504f1cc9c43,192880000000000000000000
0x4c2101f3caad34da86817e4b94256a475289fb6a,185120000000000000000000
0xcddf2d98fb4faa3654ec4ac8cc75d284731c5afa,181269440720000000000000
0xc0c4d664b78f837bf9fd30ad0e925d40498fdafd,180640000000000000000000
0x251f3db2c776800c016cb4222ce8294291661f18,164444198960000000000000
0x84f398ffd0472d6310729008da2ebf341300e7e1,157240000000000000000000
0xe81ade9f221b727458ccd89da1321acc07a36151,153888332520000000000000
0x8e59c41340d8b9d1c7a30df011b7189bd44c65b4,144000000000000000000000
0xd698f9554886450b2dc707801be8e0d5392b9cc1,140000000000000000000000
0x77aeaef320a74ba6fd827844165f1c22a33b0ed4,121272214120000000000000
0x153845bb7c2ce6309dc872aa8bf5c21934330d3f,120000000000000000000000
0x90960bfa3b5375a1b8c661148b8771c6190f3c7c,120000000000000000000000
0xd6fd3d8175bada70abde8b823c4d023ac4d0211a,120000000000000000000000
0x1813a06d40bec75f1d6d9efa4c1e0e06275fc4df,110000000000000000000000
0xadada1260a89b606587c65346ef17a1eb36967e9,108240000000000000000000
0xc6ee117ce155fd25840248bf5a1482677cead490,100400000000000000000000
0x795f8f9c40661b44cfede30fe54be24e9c524e18,100000000000000000000000
0x88f3ef84f534b38b9e8053341029e94e8ab0b913,100000000000000000000000
0xe8f429b48201a46eeb9973d7b40599ad94910e73,100000000000000000000000
0xf9c6132688eb1b6c204c7e3decbe8992d032af94,100000000000000000000000
0x2e048532024ec38ba610c86d1715dc3ec4bb1547,89104468600000000000000
0x58e7c76c0af9a92c2a11d56456ac28fd3484a265,88000000000000000000000
0x1c2c7137ce1766cb400e09de04eb87f36a1d2cc3,87755823880000000000000
0x6323a37d36bb1ad07feba12cd8874996b174d2a9,84212090680000000000000
0xcbf12e7ae17846855d03f4aa6d0402afe7ee7d87,84042684880000000000000
0xa34eB78C05dC5E08289fA75e34894E6Bd660c62B,81880000000000000000000
0xe9117eb498104013142b4be67aee22e3f13e364e,80676362600000000000000
0x3c81c5868daa44b3fc46a5dae8b1bec48b59236e,80586767960000000000000
0x727c53aa5247327e2024a874585b7dda05c0a70f,80040000000000000000000
0x12457ff25ea7e1c3df97aed882d49a14fd72097d,80000000000000000000000
0x1b2abc5e6bd28b887bfa84a140fd5996a6d8923c,80000000000000000000000
0x22b4701bdfb69191dffcfff70be7ea08275f08d9,80000000000000000000000
0x4c38445355b6cef0d13612e4aee4453777881326,80000000000000000000000
0x5292e149dec5c5fe151ea33073a0bc8096b5f884,80000000000000000000000
0x6aa5bbf2164e9e0c36535f7f910f59b7fcc62acb,80000000000000000000000
0xc23a5ae8cfd5bcb88d9ad8b17fca276abfbc7610,80000000000000000000000
0xd52c3489a101d55386fefd6a995134e5e65455f2,80000000000000000000000
