address,amount
0xa5652bd0950f3b327290f0ade66e4f0d71040eb8,499960000000000000000000
0xc9d93d0a7a5b26a63131650bba8be72296868326,286397960000000000000000
0x3b221c75f1a74fedf303f6fbcedd41e57251dc16,250000000000000000000000
0x430e0610770164fc3e8cd7e8f54394eeecd08e11,250000000000000000000000
0x4c38445355b6cef0d13612e4aee4453777881326,250000000000000000000000
0xf372da5b0aab65393a0ef7a877ef866910ae28fc,250000000000000000000000
0x1031089ef9028f48f5b3dbb1b231a62ccb65371a,248769130900000000000000
0xdcb9c33d4b79b0e0b001344d7b29fa4cbf6d4caa,248184982200000000000000
0xd42641db5849e1de93d7779251780fab33cfb1bf,200400000000000000000000
0xffb7b13612f7daf9b7ee4ae4ffc4223198b08de8,200000000000000000000000
0x94a443a1794cc4d715f8618249f7ad70b8a980cb,199416125000000000000000
0x94f02b899caf8858e2597a757ef913617b587fdf,199362875000000000000000
0xbb74a5c675e16693afff702930ad08e3b13eacee,175000000000000000000000
0xbb441249723f70547f031fc264e13023d97d1591,150025750750000000000000
0x949eea5f20719bd475df197b4e52e1980c9d9df5,150000000000000000000000
0x4bbda54c0fdc837997d137bae107e75f68827528,149920000000000000000000
0x6576ee858b723e23e24be2f6ad530aae89845cac,137708953000000000000000
0xd52c3489a101d55386fefd6a995134e5e65455f2,125842509550000000000000
0x9321f5bcb58aa729bdf5af60d84b41e6b3eae617,115355000000000000000000
0x2fff21e5c2d1dcd04b6f2bd609dcae620679d8ed,114970000000000000000000
0xeeb7e7c5cacad7441edacbe02590179f00660958,100585135900000000000000
0x00db53f35312d983f7fade48b47a3db7afda5dfb,100190000000000000000000
0x589ad955dcd7d2ed031981ed7d1c80e2ab89ee77,100122735550000000000000
0x412a055129057468e8abd5f86f2ffd7d8cf96083,100089405000000000000000
0xa0faa9845430e107ad866d1c6fccca17a11a87a5,100000000000000000000000
0xbe7f79f63e95ef48dfb98827633fd49fd89df949,100000000000000000000000
0xcb8486b547fa29159f7e81ec3a8cff94ab8d48aa,100000000000000000000000
0xd09ee9627a72d4cb95b1cd33d77fd2e8cdd9da53,79720000000000000000000
0xcbf12e7ae17846855d03f4aa6d0402afe7ee7d87,77415130000000000000000
0x1b06089da471355f8f05c7a6d8de1d9dac397629,75000000000000000000000
0x59c833bfd207ee796e833217e0f24573993edbc8,75000000000000000000000
0xc910d61e0b6312dd4274510a3e4ebcf7196ab4e4,70000000000000000000000
0x73e128fde6a5009a75cc209ccfaccee674af40d2,69900000000000000000000
0x069b09b9bc83b81822cac12ebc860d3655f7e675,69350000000000000000000
0x3e086dcf48944193dd49f62de35aaf0525b38d4a,65000000000000000000000
0x5D6C3004a48c8da29dc804220dec53a7fF74718D,62998840000000000000000
0x26a7eeeeec320c4046e205903e7cf158e65f3079,60000000000000000000000
0x3497b4923cf640d8df04f5b3c7bb622ca4d7bdb6,60000000000000000000000
0x43ad1831f27a53da8f8e2a9d9a123cdd97d20354,52500000000000000000000
0x4af0370a8dffe83aca5bc1df73c7ea4529996f8c,51232685800000000000000
0xddf33c6b10999fd00e9cc04adaf82d9fb1f6d2c5,51104252250000000000000
0x3f5661f48591994192c60f0bc29851f60c3c3c13,51000000000000000000000
0x82C53091D5Ff9526d5BDEEF795603266cD63ADe8,50355000000000000000000
0x29d41ced3ec654e03b3a7ffc18e0af8f6c13646b,50075480000000000000000
0x7c2cdbe101336eb5ec022bbd78de2eaec0fbe048,50033056000000000000000
0xC30Fdd54Cde71701bb771Ac6E209B2E931196413,50010000000000000000000
0xd04ced15ac10991691d4579c3061d30ac4c80e7b,50010000000000000000000
0x11da298abc4761306a936e3cd53811349dbf289f,50000000000000000000000
0x21f131a636992ea1fa5482f771bc63a02356fb1b,50000000000000000000000
0x24eb7162d8567452a045356bb8d82b26195f011b,50000000000000000000000
0x25092c2615459e45dac55a56ccd14fe99d53bb13,50000000000000000000000
0x30ccd77b22d84a0a2b6c99614bc08539bf22381b,50000000000000000000000
0x48db41a2511054669650724b7edf429a8c65bdb7,50000000000000000000000
0x7ede29404318e4b68c4960b4c7605bb8404d1aa0,50000000000000000000000
0x9487b2298ba2f1c4e668801f6a651fcb37478dc0,50000000000000000000000
0xad674e41bee3a3393b3aeb30225ee9028916b7a6,50000000000000000000000
0xcc1f7f158466b014a64caa185b79e83a5267f5ae,50000000000000000000000
0xe2a97513cfe5c91fa8d5fc5205105ee15e90d9b9,50000000000000000000000
0xe4edfbf2b19a0023697092e0862bb632b0f99de0,50000000000000000000000
0xd4a8b1fe6aa7451dc8ab6613bc7ed40cee9be776,49994500000000000000000
0xc8b99cd3ac5c5def1d2a5f1217f0c09b7a4074dc,49960000000000000000000
0x10a56a16d57c0364ecc8932a651b8f02d49f3519,49455055000000000000000
0x7f150982afcbc7cb834710120a42e054b540072e,49000000000000000000000
0xecaf1531008fa7532630c5ed0287c691ba83afb0,48996680000000000000000
0xca96539431aa4332af9f122bcb44fa05ec594880,47955000000000000000000
0xaa076482c4c957e0761ced6f6f57cfc28ea8294c,45153268910000000000000
0x849ccc18f480837dfae51df5a2a7bb1e0ffe5b1e,40137736790000000000000
0x77fd2a7630bca9679f7a511e267fe2a71dcd2029,40000000000000000000000
0xd2037593f3c9247e31b0a774a992c60ab43cddc1,39960000000000000000000
0x727baec863aa4c2ff5b4a73f0ce1909967e41f69,37495000000000000000000
0xafffca422a91b587acead5f012edb41fee6a27e8,37219382450000000000000
0x4c2855acd692a41ad9f94d3891432be5e6cee5df,35027000000000000000000
0xabf11abcc905277d9eb43f3c8ef12ca81101a3a7,35020972855000000000000
0x4075be4d1fb040469c3423cec0ca2daa4bdad1ee,35000000000000000000000
